text,label
I see someone struggling in the pool.,Drowning
I think someone is being strangled in the alley.,Strangulation
I see him with severe burns in the kitchen.,Burns
He is gasping for air in the lake.,Drowning
They are having their throat squeezed in the bedroom.,Strangulation
I see her covered in flames by the campfire.,Burns
She is going under the water in the river.,Drowning
The victim is gasping for breath in the office.,Strangulation
He is screaming after being burned at the barbecue.,Burns
A child is not resurfacing in the sea.,Drowning
A person is choking on something around their neck in the bathroom.,Strangulation
She is with reddened skin after a burn on the stove.,Burns
An adult is flailing their arms in the ocean.,Drowning
The patient is with hands around their neck in the park.,Strangulation
They are suffering from a burn injury near the bonfire.,Burns
I see someone struggling in the pond.,Drowning
I think someone is being strangled in the forest.,Strangulation
I see him with severe burns with hot oil.,Burns
He is gasping for air in the canal.,Drowning
They are having their throat squeezed in the car.,Strangulation
I see her covered in flames with spilled coffee.,Burns
She is going under the water in the bathtub.,Drowning
The victim is gasping for breath in the bus.,Strangulation
He is screaming after being burned with a chemical spill.,Burns
A child is not resurfacing in the waterfall.,Drowning
A person is choking on something around their neck in the restaurant.,Strangulation
She is with reddened skin after a burn with electric burn.,Burns
An adult is flailing their arms in the harbor.,Drowning
The patient is with hands around their neck in the gym.,Strangulation
They are suffering from a burn injury from a curling iron.,Burns
I see someone struggling in the pool.,Drowning
I think someone is being strangled in the alley.,Strangulation
I see him with severe burns in the kitchen.,Burns
He is gasping for air in the lake.,Drowning
They are having their throat squeezed in the bedroom.,Strangulation
I see her covered in flames by the campfire.,Burns
She is going under the water in the river.,Drowning
The victim is gasping for breath in the office.,Strangulation
He is screaming after being burned at the barbecue.,Burns
A child is not resurfacing in the sea.,Drowning
A person is choking on something around their neck in the bathroom.,Strangulation
She is with reddened skin after a burn on the stove.,Burns
An adult is flailing their arms in the ocean.,Drowning
The patient is with hands around their neck in the park.,Strangulation
They are suffering from a burn injury near the bonfire.,Burns
I see someone struggling in the pond.,Drowning
I think someone is being strangled in the forest.,Strangulation
I see him with severe burns with hot oil.,Burns
He is gasping for air in the canal.,Drowning
They are having their throat squeezed in the car.,Strangulation
I see her covered in flames with spilled coffee.,Burns
She is going under the water in the bathtub.,Drowning
The victim is gasping for breath in the bus.,Strangulation
He is screaming after being burned with a chemical spill.,Burns
