text,label,need_ambulance
The cat bite showed signs of infection and unusual behavior.,rabies,True
A lifeguard started CPR when the swimmer was pulled out of the water.,cpr,True
He fell and scraped his knee badly.,wounds,False
The worker collapsed after accidental electrocution.,electric_shock,True
Swelling and discoloration followed the snakebite.,snake_bite,True
Bitten on the hand by an aggressive fox.,rabies,True
The worker collapsed after accidental electrocution.,electric_shock,True
Burn marks were visible after a high-voltage shock.,electric_shock,True
Fang marks were visible on the ankle after a bite.,snake_bite,True
CPR was performed after detecting no heartbeat.,cpr,True
The patient reported dizziness and momentarily blacked out.,fainting,False
She reported numbness and pain after a snake bite.,snake_bite,True
Sudden fainting occurred during a blood test.,fainting,False
He suffered an electric shock while fixing the outlet.,electric_shock,True
She reported numbness and pain after a snake bite.,snake_bite,True
Minor wounds were cleaned and dressed.,wounds,False
He was bitten by a snake while hiking.,snake_bite,True
Immobilization was required for a fractured bone.,Fracture,False
He suffered an electric shock while fixing the outlet.,electric_shock,True
"The sting left a red, inflamed area on his arm.",scorpion_sting,True
A scorpion sting caused intense pain and swelling.,scorpion_sting,True
She was submerged in water for several minutes before being rescued.,drowning,True
She had a deep cut on her forearm from broken glass.,wounds,False
The patient reported dizziness and momentarily blacked out.,fainting,False
He collapsed suddenly and was not breathing. Immediate resuscitation was needed.,cpr,True
Scorpion venom symptoms appeared within minutes.,scorpion_sting,True
He appeared pale and passed out during the meeting.,fainting,False
Bandages were applied to a laceration on the leg.,wounds,False
Choking was relieved using the Heimlich maneuver.,choking,True
Patient attacked by wild animal with foaming mouth.,rabies,True
She suffered a second-degree burn from boiling water.,burns,False
He collapsed suddenly and was not breathing. Immediate resuscitation was needed.,cpr,True
She turned blue while eating and gasped for air.,choking,True
Fang marks were visible on the ankle after a bite.,snake_bite,True
CPR was performed after detecting no heartbeat.,cpr,True
He lost consciousness for a few seconds and then recovered.,fainting,False
The cat bite showed signs of infection and unusual behavior.,rabies,True
He suffered an electric shock while fixing the outlet.,electric_shock,True
The cat bite showed signs of infection and unusual behavior.,rabies,True
Hot oil spilled on his arm causing a burn.,burns,False
Bandages were applied to a laceration on the leg.,wounds,False
"The child was pulled from the water, unresponsive and coughing.",drowning,True
He collapsed suddenly and was not breathing. Immediate resuscitation was needed.,cpr,True
Bandages were applied to a laceration on the leg.,wounds,False
A raccoon bite led to concern for rabies exposure.,rabies,True
The wound was bleeding profusely after the accident.,wounds,False
She fainted after standing up too quickly.,fainting,False
"The sting left a red, inflamed area on his arm.",scorpion_sting,True
The patient had burns from a fire incident.,burns,False
He lost consciousness for a few seconds and then recovered.,fainting,False
Immobilization was required for a fractured bone.,Fracture,False
The wound was bleeding profusely after the accident.,wounds,False
Bitten on the hand by an aggressive fox.,rabies,True
Drowning symptoms appeared after being stuck underwater.,drowning,True
Minor wounds were cleaned and dressed.,wounds,False
The patient was found unresponsive with no pulse. CPR was initiated.,cpr,True
She was electrocuted by exposed wires.,electric_shock,True
She was electrocuted by exposed wires.,electric_shock,True
He fell and scraped his knee badly.,wounds,False
Patient reported pain and swelling from multiple stings.,bee_sting,False
She was electrocuted by exposed wires.,electric_shock,True
Minor wounds were cleaned and dressed.,wounds,False
Bitten on the hand by an aggressive fox.,rabies,True
Skin was red and blistered from sunburn.,burns,False
The patient reported dizziness and momentarily blacked out.,fainting,False
He lost consciousness for a few seconds and then recovered.,fainting,False
He inhaled water while swimming and became unconscious.,drowning,True
Minor wounds were cleaned and dressed.,wounds,False
She was electrocuted by exposed wires.,electric_shock,True
He collapsed suddenly and was not breathing. Immediate resuscitation was needed.,cpr,True
She reported numbness and pain after a snake bite.,snake_bite,True
A scorpion sting caused intense pain and swelling.,scorpion_sting,True
Sudden fainting occurred during a blood test.,fainting,False
Immobilization was required for a fractured bone.,Fracture,False
"The sting left a red, inflamed area on his arm.",scorpion_sting,True
The cat bite showed signs of infection and unusual behavior.,rabies,True
He lost consciousness for a few seconds and then recovered.,fainting,False
The patient had burns from a fire incident.,burns,False
He was bitten by a snake while hiking.,snake_bite,True
Immobilization was required for a fractured bone.,Fracture,False
The patient experienced numbness and pain after an electric injury.,electric_shock,True
She turned blue while eating and gasped for air.,choking,True
CPR was performed after detecting no heartbeat.,cpr,True
He was bitten by a snake while hiking.,snake_bite,True
He fell and scraped his knee badly.,wounds,False
