text,label,need_amb,source,is_synthetic
"Man in 50s collapsed at restaurant - no pulse, skin pale and clammy",cpr,1,https://www.redcross.org,0
"Infant choking on small toy part - weak cough, lips turning blue",choking,1,(Synthetic),1
Teen girl fainted after blood draw - woke up dizzy but oriented,fainting,0,https://www.nhs.uk,0
"Electrician got shocked by panel - burn marks on hands, complaining of chest pain",electric_shock,1,(Synthetic),1
Deep knife wound from kitchen accident - blood soaking through 3 towels,wounds,1,https://www.who.int,0
Hiker bitten by rattlesnake - severe swelling and nausea within 10 minutes,snake_bite,1,(Synthetic),1
"Known bee allergy - stung on neck, face swelling rapidly",bee_sting,1,https://www.cdc.gov,0
Scorpion sting on foot - sharp pain radiating up leg,scorpion_sting,1,(Synthetic),1
Boiling water spill on toddler - red skin with blistering on arm,burns,1,https://www.redcross.org,0
"Child found floating in pool - unresponsive, not breathing",drowning,1,(Synthetic),1
"Fell from bike - arm bent at unnatural angle, bone possibly broken",fractures,1,https://www.nhs.uk,0
Bat bite while sleeping - small puncture on shoulder,rabies,1,(Synthetic),1
Elderly man collapsed in park - bystanders doing CPR until EMS arrives,cpr,1,https://www.redcross.org,0
"Choking on piece of steak - can't speak, panicking",choking,1,(Synthetic),1
Woman passed out from heat - now awake but confused,fainting,0,https://www.who.int,0
Minor shock from appliance - small burn on fingers,electric_shock,0,(Synthetic),1
Glass shard cut - bleeding controlled with pressure,wounds,0,https://www.redcross.org,0
"Non-venomous snake bite - small marks, no swelling",snake_bite,0,(Synthetic),1
Single wasp sting - local redness only,bee_sting,0,https://www.cdc.gov,0
Mild scorpion sting - pain localized to area,scorpion_sting,0,(Synthetic),1
"Small cooking oil burn - red skin, no blisters",burns,0,https://www.redcross.org,0
Child swallowed pool water - coughing but alert,drowning,0,(Synthetic),1
Twisted ankle - swelling but can bear weight,fractures,0,https://www.nhs.uk,0
Dog scratch from vaccinated pet - minor break in skin,rabies,0,(Synthetic),1
"Unresponsive newborn - turning blue, mother performing rescue breaths",cpr,1,https://www.redcross.org,0
Baby choking on cereal - gagging but still breathing,choking,1,(Synthetic),1
Man fainted after seeing blood - woke up immediately,fainting,0,https://www.who.int,0
Static shock from carpet - no injury,electric_shock,0,(Synthetic),1
Paper cut - minor bleeding stopped,wounds,0,https://www.redcross.org,0
Garter snake bite - no symptoms,snake_bite,0,(Synthetic),1
Honeybee sting - normal local reaction,bee_sting,0,https://www.cdc.gov,0
"Scorpion sting - mild pain, no other symptoms",scorpion_sting,0,(Synthetic),1
Sunburn - red skin on shoulders,burns,0,https://www.redcross.org,0
Swimmer inhaled water - coughing but okay,drowning,0,(Synthetic),1
Stubbed toe - painful but no deformity,fractures,0,https://www.nhs.uk,0
Pet cat scratch - no rabies concern,rabies,0,(Synthetic),1
Cardiac arrest in gym - AED being used,cpr,1,https://www.redcross.org,0
Choking on hard candy - can't dislodge it,choking,1,(Synthetic),1
Fainted from dehydration - now drinking water,fainting,0,https://www.who.int,0
Small electric shock - startled but unharmed,electric_shock,0,(Synthetic),1
Splinter in finger - minor bleeding,wounds,0,https://www.redcross.org,0
Water snake bite - no venom symptoms,snake_bite,0,(Synthetic),1
Single bee sting - normal reaction,bee_sting,0,https://www.cdc.gov,0
Mild scorpion sting - ice helping pain,scorpion_sting,0,(Synthetic),1
Touched hot pan - small red mark,burns,0,https://www.redcross.org,0
