text,label,need_amb,source,is_synthetic
Minor shock from appliance - small burn on fingers,electric_shock,0.0,(Synthetic),1.0
Scorpion sting - child stopped crying after medication,scorpion_sting,0.0,(Synthetic),1.0
Single wasp sting - localized redness and itching,bee_sting,0.0,https://www.cdc.gov,0.0
Fainted briefly in heat - recovered with water,fainting,0.0,(Synthetic),1.0
Bat bite while sleeping - small puncture on shoulder,rabies,1.0,https://www.cdc.gov,0.0
Twisted ankle during hike - swollen but can bear weight,fractures,0.0,(Synthetic),1.0
Pet dog scratch - vaccinated animal,rabies,0.0,(Synthetic),1.0
Sharp pain from sting on wrist while holding flowers,bee_sting,0,(Synthetic),1
Sunburn - shoulders red,burns,0.0,https://www.redcross.org,0.0
Small scorpion sting - pain subsiding with ice,scorpion_sting,0.0,https://www.poison.org,0.0
Glass shard in hand – persistent bleeding,wounds,1,(Synthetic),1
Person unresponsive after falling into pond,drowning,1,(Synthetic),1
Unresponsive diabetic with no pulse,cpr,1.0,https://www.redcross.org,0.0
Skin peeling after direct sun for hours – severe sunburn,burns,0,(Synthetic),1
Child with known allergy stung by bee - hives spreading,bee_sting,1.0,(Synthetic),1.0
Industrial accident - partial amputation of fingers,wounds,1.0,(Synthetic),1.0
Twisted ankle - swelling but can bear weight,fractures,0.0,https://www.nhs.uk,0.0
Pet cat scratch - no rabies concern,rabies,0.0,(Synthetic),1.0
Surfer drowned - no pulse found,drowning,1.0,(Synthetic),1.0
Hit by bike – bone sticking out of leg!!,fractures,1,(Synthetic),1
Wasp sting - normal reaction,bee_sting,0.0,https://www.cdc.gov,0.0
Static shock from metal railing - no injury,electric_shock,0.0,https://www.physicsclassroom.com,0.0
Glass shard wound - bleeding moderately,wounds,1.0,https://www.redcross.org,0.0
Elderly man passed out in synagogue - awake but disoriented,fainting,0.0,https://www.nhs.uk,0.0
Child pulled from pool - coughing up water,drowning,0.0,(Synthetic),1.0
Bat contact during sleep - bite mark,rabies,1.0,(Synthetic),1.0
Toddler choking on balloon fragment,choking,1.0,(Synthetic),1.0
Backburn during bonfire due to strong wind,burns,1,(Synthetic),1
Brief contact with hot pan,burns,0.0,https://www.redcross.org,0.0
Scorpion sting with numbness spreading up arm,scorpion_sting,1.0,(Synthetic),1.0
Bat bite while sleeping - didn't see the animal,rabies,1.0,(Synthetic),1.0
Found floating body in canal – no pulse,drowning,1,(Synthetic),1
Scorpion sting with muscle twitching,scorpion_sting,1.0,(Synthetic),1.0
Falling through glass door - multiple deep lacerations,wounds,1.0,(Synthetic),1.0
