text,label,need_ambulance
The cat bite showed signs of infection and unusual behavior.,Rabies,TRUE
A lifeguard started CPR when the swimmer was pulled out of the water.,CPR,TRUE
He fell and scraped his knee badly.,Wounds,FALSE
The worker collapsed after accidental electrocution.,Electrocution,TRUE
Swelling and discoloration followed the snakebite.,Snake bite,TRUE
Bitten on the hand by an aggressive fox.,Rabies,TRUE
The worker collapsed after accidental electrocution.,Electrocution,TRUE
Burn marks were visible after a high-voltage shock.,Electrocution,TRUE
Fang marks were visible on the ankle after a bite.,Snake bite,TRUE
CPR was performed after detecting no heartbeat.,CPR,TRUE
The patient reported dizziness and momentarily blacked out.,Fainting,FALSE
She reported numbness and pain after a snake bite.,Snake bite,TRUE
Sudden fainting occurred during a blood test.,Fainting,FALSE
He suffered an electric shock while fixing the outlet.,Electrocution,TRUE
She reported numbness and pain after a snake bite.,Snake bite,TRUE
Minor wounds were cleaned and dressed.,Wounds,FALSE
He was bitten by a snake while hiking.,Snake bite,TRUE
Immobilization was required for a fractured bone.,Fracture,FALSE
He suffered an electric shock while fixing the outlet.,Electrocution,TRUE
"The sting left a red, inflamed area on his arm.",Scorpion sting,TRUE
A scorpion sting caused intense pain and swelling.,Scorpion sting,TRUE
She was submerged in water for several minutes before being rescued.,Drowning,TRUE
She had a deep cut on her forearm from broken glass.,Wounds,FALSE
The patient reported dizziness and momentarily blacked out.,Fainting,FALSE
He collapsed suddenly and was not breathing. Immediate resuscitation was needed.,CPR,TRUE
Scorpion venom symptoms appeared within minutes.,Scorpion sting,TRUE
He appeared pale and passed out during the meeting.,Fainting,FALSE
Bandages were applied to a laceration on the leg.,Wounds,FALSE
Choking was relieved using the Heimlich maneuver.,Choking,TRUE
Patient attacked by wild animal with foaming mouth.,Rabies,TRUE
She suffered a second-degree burn from boiling water.,Burns,FALSE
He collapsed suddenly and was not breathing. Immediate resuscitation was needed.,CPR,TRUE
She turned blue while eating and gasped for air.,Choking,TRUE
Fang marks were visible on the ankle after a bite.,Snake bite,TRUE
CPR was performed after detecting no heartbeat.,CPR,TRUE
He lost consciousness for a few seconds and then recovered.,Fainting,FALSE
The cat bite showed signs of infection and unusual behavior.,Rabies,TRUE
He suffered an electric shock while fixing the outlet.,Electrocution,TRUE
The cat bite showed signs of infection and unusual behavior.,Rabies,TRUE
Hot oil spilled on his arm causing a burn.,Burns,FALSE
Bandages were applied to a laceration on the leg.,Wounds,FALSE
"The child was pulled from the water, unresponsive and coughing.",Drowning,TRUE
He collapsed suddenly and was not breathing. Immediate resuscitation was needed.,CPR,TRUE
Bandages were applied to a laceration on the leg.,Wounds,FALSE
A raccoon bite led to concern for rabies exposure.,Rabies,TRUE
The wound was bleeding profusely after the accident.,Wounds,FALSE
She fainted after standing up too quickly.,Fainting,FALSE
"The sting left a red, inflamed area on his arm.",Scorpion sting,TRUE
The patient had burns from a fire incident.,Burns,FALSE
He lost consciousness for a few seconds and then recovered.,Fainting,FALSE
Immobilization was required for a fractured bone.,Fracture,FALSE
The wound was bleeding profusely after the accident.,Wounds,FALSE
Bitten on the hand by an aggressive fox.,Rabies,TRUE
Drowning symptoms appeared after being stuck underwater.,Drowning,TRUE
Minor wounds were cleaned and dressed.,Wounds,FALSE
The patient was found unresponsive with no pulse. CPR was initiated.,CPR,TRUE
She was electrocuted by exposed wires.,Electrocution,TRUE
She was electrocuted by exposed wires.,Electrocution,TRUE
He fell and scraped his knee badly.,Wounds,FALSE
Patient reported pain and swelling from multiple stings.,Bee sting,FALSE
She was electrocuted by exposed wires.,Electrocution,TRUE
Minor wounds were cleaned and dressed.,Wounds,FALSE
Bitten on the hand by an aggressive fox.,Rabies,TRUE
Skin was red and blistered from sunburn.,Burns,FALSE
The patient reported dizziness and momentarily blacked out.,Fainting,FALSE
He lost consciousness for a few seconds and then recovered.,Fainting,FALSE
He inhaled water while swimming and became unconscious.,Drowning,TRUE
Minor wounds were cleaned and dressed.,Wounds,FALSE
She was electrocuted by exposed wires.,Electrocution,TRUE
He collapsed suddenly and was not breathing. Immediate resuscitation was needed.,CPR,TRUE
She reported numbness and pain after a snake bite.,Snake bite,TRUE
A scorpion sting caused intense pain and swelling.,Scorpion sting,TRUE
Sudden fainting occurred during a blood test.,Fainting,FALSE
Immobilization was required for a fractured bone.,Fracture,FALSE
