text,label
"Early morning, He had swelling and pain after the fall.",Fractures
a bystander washed the area and sought immediate care.,Scorpion Sting
She saw John slump to the ground after becoming lightheaded.,Fainting
"Early morning, the patient fell silent, clutching the neck.",Choking
Call 101 and give CPR to Emily without hesitation.,CPR
"Without warning, Emily's wrist was immobilized with a splint.",Fractures
"After the shock, the victim had burns at the entry and exit points.",Electric Shock
She had a deep wound on the leg.,Wounds
He panicked as the patient gasped for air. in the pool.,Choking
"Early morning, she washed the area and sought immediate care.",Scorpion Sting
"Without warning, John washed the area and sought immediate care.",Scorpion Sting
"During lunch, She noticed the victim was unresponsive and began CPR. on the street.",CPR
"During lunch, they suddenly collapsed and pressed on his chest to restart the heart.",CPR
Sharp pain spread from the sting site. at work.,Scorpion Sting
"Suddenly, In shallow water, a bystander lost consciousness and needed help.",Drowning
"Early morning, She saw the patient slump to the ground after becoming lightheaded.",Fainting
"In the evening, A month after the bite, they showed symptoms of rabies.",Rabies
the victim found two puncture marks and felt numbness.,Snake Bite
the victim saw a scorpion and got stung on the hand.,Scorpion Sting
"Early morning, she fell silent, clutching the neck. on the street.",Choking
"In the evening, He received an electric shock when fixing the outlet.",Electric Shock
"During lunch, Allergic, he needed medical help after the bee sting. at work.",Bee Sting
She had itching and redness after the sting.,Bee Sting
the patient was thrown back by the electrical current.,Electric Shock
She saw they slump to the ground after becoming lightheaded. in the park.,Fainting
Rescuers found he submerged and not breathing.,Drowning
"Early morning, John felt a sharp pain and saw redness where the bee stung.",Bee Sting
"A month after the bite, Emily showed symptoms of rabies.",Rabies
He received an electric shock when fixing the outlet.,Electric Shock
"After the dog bite, John developed high fever and aggression.",Rabies
He received an electric shock when fixing the outlet. in the park.,Electric Shock
"Without warning, He described burning sensation after scorpion sting.",Scorpion Sting
She had itching and redness after the sting.,Bee Sting
"Early morning, they felt dizziness after the snake bite.",Snake Bite
"After the shock, Emily had burns at the entry and exit points.",Electric Shock
"Without warning, he had foaming at the mouth and erratic behavior. on the street.",Rabies
the victim grabbed their throat and couldn't breathe. at work.,Choking
"Suddenly, the victim lost consciousness and needed chest compressions and rescue breaths. at home.",CPR
"During lunch, After the shock, a bystander had burns at the entry and exit points.",Electric Shock
"Suddenly, Allergic, he needed medical help after the bee sting. at work.",Bee Sting
"In the evening, he felt extreme pain and saw damaged skin. on the street.",Burns
"Suddenly, John got black spots before fainting. on the street.",Fainting
"Without warning, She couldn't move the broken bone.",Fractures
"After the shock, Emily had burns at the entry and exit points.",Electric Shock
"Early morning, she cut their arm with a sharp knife. in the pool.",Wounds
she was thrown back by the electrical current.,Electric Shock
"During lunch, Emily touched a live wire and felt a strong electric jolt. on the street.",Electric Shock
"Suddenly, She noticed John was unresponsive and began CPR. in the pool.",CPR
"In the evening, Call 101 and give CPR to the patient without hesitation.",CPR
"While swimming, she inhaled water and began to choke.",Drowning
"Suddenly, She cleaned the bite and immobilized her leg.",Snake Bite
she's wrist was immobilized with a splint.,Fractures
The device malfunctioned and gave the victim an unexpected shock.,Electric Shock
She saw Emily slump to the ground after becoming lightheaded.,Fainting
John's wrist was immobilized with a splint.,Fractures
John touched a live wire and felt a strong electric jolt.,Electric Shock
Emily's skin was torn and bleeding.,Wounds
"In the evening, He had swelling and pain after the fall.",Fractures
"In the evening, the patient felt extreme pain and saw damaged skin. on the street.",Burns
"Suddenly, the patient touched a live wire and felt a strong electric jolt.",Electric Shock
"Suddenly, a bystander was thrown back by the electrical current.",Electric Shock
John felt dizzy and then suddenly passed out.,Fainting
"Suddenly, She was rescued from the lake after almost drowning.",Drowning
he lost consciousness and needed chest compressions and rescue breaths.,CPR
She saw the patient slump to the ground after becoming lightheaded.,Fainting
"Early morning, A fall caused a large scratch on she's back.",Wounds
She noticed the patient was unresponsive and began CPR.,CPR
"the patient fell silent, clutching the neck. in the pool.",Choking
"Without warning, After the dog bite, the victim developed high fever and aggression.",Rabies
she grabbed their throat and couldn't breathe.,Choking
"Suddenly, During dinner, she started choking on food. on the street.",Choking
"Early morning, He stood up too quickly and they lost consciousness temporarily. in the pool.",Fainting
He had swelling and pain after the fall.,Fractures
"Early morning, She noticed the victim was unresponsive and began CPR. in the pool.",CPR
John lost consciousness and needed chest compressions and rescue breaths.,CPR
He panicked as the patient gasped for air.,Choking
they felt dizzy and then suddenly passed out.,Fainting
"In the evening, She noticed he was unresponsive and began CPR.",CPR
A fall caused a large scratch on they's back.,Wounds
Sharp pain spread from the sting site.,Scorpion Sting
"During lunch, the victim's wrist was immobilized with a splint. in the park.",Fractures
Rescuers found she submerged and not breathing.,Drowning
"During lunch, the victim saw a scorpion and got stung on the hand.",Scorpion Sting
"Feeling faint, he had a brief loss of consciousness.",Fainting
"Suddenly, the victim had foaming at the mouth and erratic behavior.",Rabies
They cooled the burn under running water. in the pool.,Burns
She suffered a third-degree burn in the accident.,Burns
She saw she slump to the ground after becoming lightheaded.,Fainting
Emily felt extreme pain and saw damaged skin.,Burns
"Suddenly, John washed the spot where the bee stung.",Bee Sting
the victim was bitten by a stray dog and started showing signs of rabies. at work.,Rabies
"During lunch, He panicked as John gasped for air.",Choking
"Early morning, the victim struggled in the water until they were pulled out.",Drowning
He received an electric shock when fixing the outlet. on the street.,Electric Shock
the patient burned their hand on a hot stove.,Burns
"Early morning, She had itching and redness after the sting.",Bee Sting
he was bitten by a stray dog and started showing signs of rabies.,Rabies
"Without warning, the victim cut their arm with a sharp knife.",Wounds
"During lunch, She was rescued from the lake after almost drowning.",Drowning
"Feeling faint, Emily had a brief loss of consciousness. at home.",Fainting
"Early morning, the patient had foaming at the mouth and erratic behavior.",Rabies
"Feeling faint, the victim had a brief loss of consciousness.",Fainting
"Early morning, They rushed John to the hospital with snake venom symptoms. on the street.",Snake Bite
Perform CPR immediately when Emily stopped breathing.,CPR
they washed the area and sought immediate care.,Scorpion Sting
He was bitten by a snake while hiking.,Snake Bite
"During lunch, She couldn't move the broken bone.",Fractures
"Suddenly, They cleaned the wound and applied a dressing. at work.",Wounds
"During lunch, a bystander fell and broke the arm.",Fractures
"Early morning, A fall caused a large scratch on a bystander's back.",Wounds
The device malfunctioned and gave they an unexpected shock.,Electric Shock
"In the evening, He described burning sensation after scorpion sting.",Scorpion Sting
"Feeling faint, Emily had a brief loss of consciousness.",Fainting
They cleaned the wound and applied a dressing. on the street.,Wounds
"Without warning, she washed the spot where the bee stung. in the pool.",Bee Sting
"Suddenly, They cooled the burn under running water. at home.",Burns
the patient struggled in the water until they were pulled out. in the pool.,Drowning
"In the evening, he got black spots before fainting.",Fainting
"Early morning, Emily found two puncture marks and felt numbness.",Snake Bite
